,Predicted
36,"H3K27me3 ChIP-seq on embryonic 10.5 day mouse forebrain C57BL/6 forebrain embryo (10.5 days) Forebrain from 69 embryonic 10.5 day mice,Forebrain from 51 embryonic 10.5 day mice = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K27me3 - Genome assembly: mm10 - Biosample term name: forebrain - Project: ENCODE - Organism: Mus musculus - Life stage: embryonic - Age: 10.5 - Age units: day - Sex: mixed - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,broad histone mark $ <pad>"
37,"lab: HudsonAlpha; lab description: Myers - Hudson Alpha Institute for Biotechnology; datatype: Genotype; datatype description: Genotype CNV and SNP; cell: GM12878; cell organism: human; cell description: B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus; cell karyotype: normal; cell lineage: mesoderm; cell sex: F; treatment: None; treatment description: No special treatment or protocol applies; labexpid: Illumina 1MDuo; labversion: HudsonAlpha; labversion description: Myers - Hudson Alpha Institute for Biotechnology; obtainedby: HudsonAlpha; obtainedby description: Myers - Hudson Alpha Institute for Biotechnology; replicate: 1 http://genome.ucsc.edu/cgi-bin/hgTrackUi?db=hg19&g=wgEncodeHaibGenotype Genotype of human GM12878 GM12878 B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus = Assay name: H3K36me3 ChIP-seq - Assay type: DNA methylation - Target of assay: None - Genome assembly: GRCh38 - Biosample term name: GM12878 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: unknown - Age units: None - Sex: female - Ethnicity: Caucasian - Health status: unknown - Classification: cell line - Investigated as: None $ <pad>"
38,RNA Bind-n-Seq (RBNS) pulldown experiment against PCBP2 = Assay name: RNA Bind-n-Seq - Assay type: RNA binding - Target of assay: PCBP2 - Genome assembly: None - Biosample term name: cell-free sample - Project: ENCODE - Organism: None - Life stage: None - Age: None - Age units: None - Sex: None - Ethnicity: None - Health status: None - Classification: None - Investigated as: RNA binding protein $ <pad>
39,"H3K27ac ChIA-PET in GM19238 GM19238 B-lymphocyte, lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed = Assay name: ChIA-PET - Assay type: 3D chromatin structure - Target of assay: H3K27ac - Genome assembly: None - Biosample term name: GM19238 - Project: ENCODE - Organism: Homo sapiens - Life stage: unknown - Age: unknown - Age units: None - Sex: female - Ethnicity: Yoruba - Health status: unknown - Classification: cell line - Investigated as: histone,narrow histone mark $ <pad>"
40,"lab: LICR-m; lab description: Ren - Ludwig Institue for Cancer Research; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: Cerebellum; cell organism: mouse; cell description: Cerebellum; cell sex: M; antibody: Pol2; antibody antibodydescription: mouse monoclonal, clone 8WG16. Antibody Target: POL2; antibody targetdescription: RNA Polymerase II; antibody vendorname: Covance; antibody vendorid: MMS-126R; age: adult-8wks; age description: Adult 8 weeks; age: adult-8wks; age description: Adult 8 weeks; control: std; control description: Standard input signal for most experiments.; controlid: wgEncodeEM001448; labversion: 05/26/09 Lane 7; replicate: 1; softwareversion: ELAND; strain: C57BL/6; strain description: C57 black 6, the most common inbred strain of laboratory mouse POLR2A ChIP-seq on 8-week mouse cerebellum C57BL/6 cerebellum male adult (8 weeks) Cerebellum from multiple mice = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: POLR2A - Genome assembly: mm9,mm10 - Biosample term name: cerebellum - Project: ENCODE - Organism: Mus musculus - Life stage: adult - Age: 8 - Age units: week - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: transcription factor $ <pad>"
41,CAGE on capped RNA from Drosophila ML-DmBG3-c2 cell line ML-DmBG3-c2 treated with 1 μM 20-hydroxyecdysone for 5 hours = Assay name: CAGE - Assay type: Transcription - Target of assay: None - Genome assembly: None - Biosample term name: ML-DmBG3-c2 - Project: modENCODE - Organism: Drosophila melanogaster - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: None $ <pad>
42,"sample alias: RO 01535; sample common name: CD34 Primary Cells; molecule: genomic DNA; disease: None; biomaterial_provider: FHCRC HEIMFELD; biomaterial_type: Primary Cell; cell_type: CD34 Primary Cells; markers: CD34+; donor_id: RO 01535; donor_age: NA; donor_health_status: NA; donor_sex: Unknown; donor_ethnicity: NA; passage_if_expanded: NA; experiment_type: Digital Genomic Footprinting; extraction_protocol: Qiagen minElut; dnase_protocol: Stamlab DNase Protocol, Sabo, P. J. et al. Nat Methods 3, 511-518 (2006) Design description: Digital Genomic Footprinting determination via DNase-seq; Library name: DGF.DS12274; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FEXPERIMENT%2FEDACC.7422; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FSAMPLE%2FEDACC.1659; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   common myeloid progenitor, CD34-positive female Flow sorted CD34+ cells from cord blood. Cells provided by FHCRC. = Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: common myeloid progenitor, CD34-positive - Project: Roadmap - Organism: Homo sapiens - Life stage: unknown - Age: unknown - Age units: None - Sex: female - Ethnicity: None - Health status: None - Classification: primary cell - Investigated as: None $ <pad>"
43,gastroesophageal sphincter female adult (53 years) = Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38 - Biosample term name: gastroesophageal sphincter - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>
44,disease: None; biomaterial_provider: FHCRC HEIMFELD; biomaterial_type: Primary Cell; cell_type: CD14 Primary Cells; markers: CD14+; donor_id: RO 01679; donor_age: year 21; donor_health_status: NA; donor_sex: Male; donor_ethnicity: Caucasian; passage_if_expanded: NA Genotyping; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FEXPERIMENT%2FEDACC.19810; sample alias: CD14.RO_01721; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FSAMPLE%2FEDACC.5355  CD14-positive monocyte male adult (21 year) Flow sorted CD14+ monocytes from a 21 year old Caucasian male. Cells provided by the Shelly Heimfeld lab at FHCRC. = Assay name: transcription profiling by array assay - Assay type: Transcription - Target of assay: None - Genome assembly: None - Biosample term name: CD14-positive monocyte - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 21 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: None - Classification: primary cell - Investigated as: None $ <pad>
45,"MEF2A ChIP-seq mouse MEL produced by the Snyder lab DBA/2 MEL cell line Leukemia (K562 analog) = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: EGF2A - Genome assembly: mm9,mm10 - Biosample term name: MEL cell line - Project: ENCODE - Organism: Mus musculus - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: transcription factor $ <pad>"
46,"Input control for ChIP-seq on transgenic flies expressing CG5245-eGFP fusion proteins. strain CG5245-GFP whole organism embryo (0-16 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to CG5245 = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-16 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $ <pad>"
47,strain YL628 (unc-86(tm6459)III) whole organism 680 minutes post synchronization using egg bleaching genetically modified using mutagen treatment DeletionMutant = Assay name: RNA-seq - Assay type: Transcription - Target of assay: unc-86 - Genome assembly: None - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $ <pad>
48,body of pancreas female adult (53 years) = Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38 - Biosample term name: body of pancreas - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>
49,"The libraries contained in this Experiment come from tissue sub-sections of a 53 year old female's aorta tissue section obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size. ascending aorta female adult (53 years) Vagina aliquot received by the Gingeras lab to conduct RNA-Seq assays on. = Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: ascending aorta - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>"
50,"breast epithelium female adult (53 years) EnTEX: Breast - Mammary Tissue = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K27ac - Genome assembly: GRCh38,hg19 - Biosample term name: breast epithelium - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,narrow histone mark $ <pad>"
51,"Affy RNA Array on human GM12878 nucleolus long total RNA GM12878 nucleolus fraction B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus = Assay name: transcription profiling by array assay - Assay type: Transcription - Target of assay: None - Genome assembly: hg19 - Biosample term name: GM12878 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: unknown - Age units: None - Sex: female - Ethnicity: Caucasian - Health status: unknown - Classification: cell line - Investigated as: None $ <pad>"
52,"sample_term_id: UBERON_0000016; assay_term_id: OBI_0001863; nucleic_acid_term_id: SO_0000352; Design description: Bisulfite-Seq analysis of pancreas islet from ZGI 213 using Illumina HiSeq 2000; Library name: A27343; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSF-UBC%2FEXPERIMENT%2FEDACC.19387; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSF-UBC%2FSAMPLE%2FEDACC.19306; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   endocrine pancreas adult (59 years) Pancreas islet tissue from a 59 year old Caucasian donor ZGI 213 = Assay name: whole-genome shotgun bisulfite sequencing - Assay type: DNA methylation - Target of assay: None - Genome assembly: None - Biosample term name: endocrine pancreas - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 59 - Age units: year - Sex: unknown - Ethnicity: Caucasian - Health status: None - Classification: tissue - Investigated as: None $ <pad>"
53,"Input ChIP-seq in L4 larva worms. strain OP236 (unc-119(ed3) III; wgIs236) whole organism L4 larva genetically modified using bombardment = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modENCODE - Organism: Caenorhabditis elegans - Life stage: L4 larva - Age: unknown - Age units: None - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $ <pad>"
54,"Control ChIP-seq in K562 K562 Control ChIP-seq in K562 = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: None $ <pad>"
55,"DNase-seq on 91 day old male fetal human kidney tissue left kidney female embryo (59 days) and male embryo (91 day) = Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38 - Biosample term name: kidney - Project: ENCODE - Organism: Homo sapiens - Life stage: embryonic - Age: 59,59 - Age units: day - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>"
